Name,Latitude,Longitude,Air conditioning,Housekeeping,Private balcony,Private bathrooms,VIP room facilities,Complimentary toiletries,Room service,Telephone,Minibar,Flatscreen TV,Wifi,Pool,Bar / lounge,Poolside bar,Free parking,Breakfast available,Restaurant,Airport transportation,Car hire,Taxi service,Banquet room,Meeting rooms,Conference facilities,Spa,Sauna,Currency exchange,24-hour security,Concierge,Baggage storage,Sun terrace,Shops,Butler service,First aid kit,Infirmary,24-hour front desk,Private check-in / check-out,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Ocean view,City view,Landmark view,Pool view,Non-smoking rooms,Smoking rooms available,Suites,Rating,Number of reviews,Price,Distance Score,Review Score
Somerset Greenways Chennai,13.017248153686525,80.2706069946289,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.5,518,5020.9079999999985,402.47,8.87
"Taj Connemara, Chennai",13.063065528869627,80.26167297363281,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,4.5,"1,422",4705.240000000002,440.18000000000006,9.48
Raj Palace Sundar,13.018381118774414,80.26083374023438,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,4.5,804,2837.2895,424.20000000000005,9.3
Regenta Central RS,12.835634231567385,80.22913360595703,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,5.0,111,2722.6365,29.26,6.79
"Trident, Chennai",12.993619918823242,80.18612670898438,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,4.5,"1,717",5675.3235,171.69000000000008,9.49
Radisson Blu Hotel Chennai City Centre,13.066944122314453,80.25555419921875,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,"1,130",3128.389000000001,429.67,8.95
Abu Sarovar Portico,13.079380989074707,80.25228118896484,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,334,2181.385,394.10999999999996,7.69
Raj Palace,13.037487983703613,80.23961639404297,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,4.5,392,2253.6015,482.0700000000001,8.46
"The Raintree Hotel, St.Mary's",13.028605461120605,80.25273132324219,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4.5,"1,482",5454.9515,465.49000000000007,9.49
Fairfield by Marriott Chennai OMR,12.875883102416992,80.22721099853516,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,4.5,160,2581.1517200000008,61.88999999999999,6.86
Hotel Southern Comfort,12.985940933227539,80.17442321777344,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.0,210,3700.9095,107.34999999999998,6.84
Peace Inn,13.061384201049805,80.27537536621094,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4.0,102,1872.4175,411.23999999999995,5.68
The Residency,13.045025825500488,80.24053955078125,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,"1,096",3404.5985,464.3800000000001,9.44
Regenta Central Deccan,13.04643726348877,80.26663970947266,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.5,308,3473.0925,438.01000000000005,7.04
Courtyard by Marriott Chennai,13.04603672027588,80.24799346923828,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,4.5,"3,128",4653.125,473.4800000000001,9.5
The Westin Chennai Velachery,12.98952579498291,80.22087860107422,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,4.5,"2,102",4839.6669200000015,294.92999999999995,9.5
Holiday Inn Express Chennai OMR Thoraipakkam,12.93043327331543,80.23150634765625,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,4.5,363,2042.1635,121.96,8.33
"Welcomhotel GST Road, Chennai",12.764748573303224,80.00597381591797,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,5.0,"1,113",4539.960999999998,0.0,9.94
The Metroplace Hotels,12.983673095703125,80.24632263183594,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,4.0,214,2268.4915,295.09,6.88
Radha Regent,13.065140724182127,80.21054077148438,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,556,3882.5675,368.00000000000006,8.46
Park Hyatt Chennai,13.010819435119627,80.22345733642578,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,4.5,"1,647",6752.6150000000025,408.46000000000004,9.49
